Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2019-2020,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,8
2019-2020,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,21
2019-2020,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,94
2019-2020,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,29
2019-2020,EMIRATES COLLEGE FOR MANAGEMENT AND INFORMATION TECHNOLOGY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,7
2019-2020,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,5
2019-2020,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,8
2019-2020,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,6
2019-2020,EUROPEAN INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,8
2019-2020,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,8
2019-2020,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,75
2019-2020,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,11
2019-2020,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,256
2019-2020,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,88
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,NULL,NULL,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,1
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,508
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,272
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,141
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,260
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,157
2019-2020,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,31
2019-2020,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,41
2019-2020,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,30
2019-2020,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,419
2019-2020,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,60
2019-2020,MENA COLLEGE OF MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,14
2019-2020,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,40
2019-2020,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,12
2019-2020,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,24
2019-2020,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,58
2019-2020,NEW YORK INSTITUTE OF TECHNOLOGY,أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,12
2019-2020,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,426
2019-2020,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,48
2019-2020,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,116
2019-2020,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,63
2019-2020,SAINT JOSEPH UNIVERSITY DUBAI,خارج الدولة ,Outside of UAE ,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,9
2019-2020,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,23
2019-2020,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,69
2019-2020,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,92
2019-2020,SYSCOMS COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,10
2019-2020,THE COLLEGE OF FASHION AND DESIGN,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,11
2019-2020,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,31
2019-2020,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,1076
2019-2020,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,الشارقة,Sharjah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,3
2019-2020,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,3
2019-2020,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,رأس الخيمة,Ras Al Khaima,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,1
2019-2020,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,31
2019-2020,UNIVERSITY OF BALAMAND IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,16
2019-2020,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,80
2019-2020,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,26
2019-2020,UNIVERSITY OF MODERN SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,25
2019-2020,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,599
2019-2020,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,139
2019-2020,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,367
2019-2020,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,259
2020-2021,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,86
2020-2021,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,30
2020-2021,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,323
2020-2021,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,10
2020-2021,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,149
2020-2021,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,406
2020-2021,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,144
2020-2021,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,45
2020-2021,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,31
2020-2021,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,55
2020-2021,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,85
2020-2021,AL QASIMIYA UNIVERSITY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,63
2020-2021,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,40
2020-2021,AMERICAN COLLEGE OF DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,11
2020-2021,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,122
2020-2021,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,123
2020-2021,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,109
2020-2021,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,575
2020-2021,ANWAR GARGASH DIPLOMATIC ACADEMY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,9
2020-2021,"ARAB ACADEMY FOR SCIENCE, TECHNOLOGY AND MARITIME TRANSPORT ",الشارقة,Sharjah,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,4
2020-2021,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,43
2020-2021,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,96
2020-2021,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,108
2020-2021,DUBAI INSTITUTE OF DESIGN AND INNOVATION,NULL,NULL,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,2
2020-2021,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,18
2020-2021,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,36
2020-2021,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,31
2020-2021,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,11
2020-2021,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,10
2020-2021,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,76
2020-2021,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,27
2020-2021,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,4
2020-2021,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,7
2020-2021,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,6
2020-2021,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,7
2020-2021,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,85
2020-2021,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,17
2020-2021,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,214
2020-2021,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,94
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,NULL,NULL,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,1
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,470
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,266
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,137
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,233
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,145
2020-2021,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,27
2020-2021,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,22
2020-2021,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,20
2020-2021,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,401
2020-2021,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,64
2020-2021,MENA COLLEGE OF MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,15
2020-2021,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,NULL,NULL,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,16
2020-2021,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,44
2020-2021,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,3
2020-2021,MOHAMED BIN ZAYED UNIVERSITY OF ARTIFICIAL INTELLIGENCE,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,10
2020-2021,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,21
2020-2021,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,58
2020-2021,NEW YORK INSTITUTE OF TECHNOLOGY,أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,4
2020-2021,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,335
2020-2021,RABDAN ACADEMY,NULL,NULL,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,12
2020-2021,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,58
2020-2021,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,الفجيرة,Fujairah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,43
2020-2021,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,188
2020-2021,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,65
2020-2021,ROYAL COLLEGE OF SURGEONS IN IRELAND- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,2
2020-2021,SAINT JOSEPH UNIVERSITY DUBAI,NULL,NULL,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,40
2020-2021,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,7
2020-2021,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,41
2020-2021,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,567
2020-2021,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,31
2020-2021,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,1060
2020-2021,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,الشارقة,Sharjah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,4
2020-2021,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,3
2020-2021,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,رأس الخيمة,Ras Al Khaima,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,1
2020-2021,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,29
2020-2021,UNIVERSITY OF BALAMAND IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,24
2020-2021,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,70
2020-2021,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,25
2020-2021,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF FUJAIRAH,الفجيرة,Fujairah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,70
2020-2021,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,739
2020-2021,UNIVERSITY OF STRATHCLYDE BUSINESS SCHOOL- UAE,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,1
2020-2021,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,166
2020-2021,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,391
2020-2021,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,259
2021-2022,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,98
2021-2022,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,32
2021-2022,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,409
2021-2022,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,8
2021-2022,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,151
2021-2022,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,431
2021-2022,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,165
2021-2022,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,35
2021-2022,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,31
2021-2022,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,39
2021-2022,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,97
2021-2022,AL QASIMIYA UNIVERSITY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,63
2021-2022,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,45
2021-2022,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,142
2021-2022,AMERICAN UNIVERSITY IN THE EMIRATES,NULL,NULL,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,4
2021-2022,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,126
2021-2022,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,106
2021-2022,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,553
2021-2022,ANWAR GARGASH DIPLOMATIC ACADEMY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,12
2021-2022,"ARAB ACADEMY FOR SCIENCE, TECHNOLOGY AND MARITIME TRANSPORT ",الشارقة,Sharjah,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,16
2021-2022,BRITISH UNIVERSITY IN DUBAI,NULL,NULL,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,1
2021-2022,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,40
2021-2022,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,93
2021-2022,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,106
2021-2022,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,15
2021-2022,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,36
2021-2022,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,33
2021-2022,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,16
2021-2022,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,12
